batch_size,avg_epoch_time_sec,rss_peak_mb,gpu_peak_mb,test_accuracy
32,3.7741762499999822,1712.36328125,,0.9785000085830688
64,2.508304350000799,1708.52734375,,0.9728999733924866
128,1.8387735500000417,1723.140625,,0.9689000248908997
256,1.5091918499992971,1749.41796875,,0.9588000178337097
